render_flow_id,year,origin_country_id,destination_country_id,origin_longitude,origin_latitude,destination_longitude,destination_latitude,commodity_id,commodity_group,quantity_tonnes,visual_magnitude,commodity_max_quantity_tonnes,unit_id,flow_mode,color_rgba,line_width,source_table,source_id,tooltip
rf_nf_2024_ammonia_IND_QAT_00902,2024,QAT,IND,51.19794918743203,25.318528486425386,81.17300408530181,23.586300567746722,ammonia,fertilizer,179994.948,403705341.464,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",5.276,net_trade_flows,nf_2024_ammonia_IND_QAT_00902,"Ammonia: Qatar -> India | 179994.948 tonnes net | gross QAT->IND: 181981.6 t, reverse: 1986.652 t"
rf_nf_2024_ammonia_BEL_TTO_00206,2024,TTO,BEL,-61.37236579976247,10.415515638298093,4.675010154696485,50.6182138854095,ammonia,fertilizer,170202.44,392570109.101,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",5.169,net_trade_flows,nf_2024_ammonia_BEL_TTO_00206,"Ammonia: Trinidad and Tobago -> Belgium | 170202.44 tonnes net | gross TTO->BEL: 170226 t, reverse: 23.56 t"
rf_nf_2024_ammonia_DZA_GBR_00592,2024,DZA,GBR,2.6558464719769135,28.350969744889056,-2.852943909329258,53.97844735080214,ammonia,fertilizer,154193,373651445.657,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.987,net_trade_flows,nf_2024_ammonia_DZA_GBR_00592,"Ammonia: Algeria -> United Kingdom | 154193 tonnes net | gross DZA->GBR: 154193 t, reverse: 0 t"
rf_nf_2024_ammonia_BGR_TTO_00253,2024,TTO,BGR,-61.37236579976247,10.415515638298093,25.251739122561908,42.82043677302438,ammonia,fertilizer,146877.6,364680147.275,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.901,net_trade_flows,nf_2024_ammonia_BGR_TTO_00253,"Ammonia: Trinidad and Tobago -> Bulgaria | 146877.6 tonnes net | gross TTO->BGR: 146877.6 t, reverse: 0 t"
rf_nf_2024_ammonia_EGY_ISR_00609,2024,EGY,ISR,30.240135435012338,26.60517034450628,35.027923472437024,31.513542220043195,ammonia,fertilizer,146765.996,364541571.013,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.900,net_trade_flows,nf_2024_ammonia_EGY_ISR_00609,"Ammonia: Egypt -> Israel | 146765.996 tonnes net | gross EGY->ISR: 146765.996 t, reverse: 0 t"
rf_nf_2024_ammonia_OMN_TUR_01121,2024,OMN,TUR,55.841088119829,20.7242833183209,35.56886764076691,38.93207363123396,ammonia,fertilizer,142953.76,359775950.431,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.854,net_trade_flows,nf_2024_ammonia_OMN_TUR_01121,"Ammonia: Oman -> Turkey | 142953.76 tonnes net | gross OMN->TUR: 142953.76 t, reverse: 0 t"
rf_nf_2024_ammonia_NOR_TTO_01117,2024,TTO,NOR,-61.37236579976247,10.415515638298093,16.670259272390894,64.97775882947745,ammonia,fertilizer,136118.68,351069582.043,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.770,net_trade_flows,nf_2024_ammonia_NOR_TTO_01117,"Ammonia: Trinidad and Tobago -> Norway | 136118.68 tonnes net | gross TTO->NOR: 136118.68 t, reverse: 0 t"
rf_nf_2024_ammonia_IDN_JPN_00855,2024,IDN,JPN,113.96538246847302,0.15591979959037652,137.46934234351835,36.76738832597829,ammonia,fertilizer,130825.534,344176010.223,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.704,net_trade_flows,nf_2024_ammonia_IDN_JPN_00855,"Ammonia: Indonesia -> Japan | 130825.534 tonnes net | gross IDN->JPN: 130826.088 t, reverse: 0.554 t"
rf_nf_2024_ammonia_FRA_TTO_00754,2024,TTO,FRA,-61.37236579976247,10.415515638298093,2.1940236627886227,46.6423682169416,ammonia,fertilizer,130225.1,343385290.581,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.696,net_trade_flows,nf_2024_ammonia_FRA_TTO_00754,"Ammonia: Trinidad and Tobago -> France | 130225.1 tonnes net | gross TTO->FRA: 130225.1 t, reverse: 0 t"
rf_nf_2024_ammonia_CZE_DEU_00469,2024,DEU,CZE,10.426171427430804,51.08304539800482,15.383273292023533,49.74917370930982,ammonia,fertilizer,120871.577,330823560.881,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.576,net_trade_flows,nf_2024_ammonia_CZE_DEU_00469,"Ammonia: Germany -> Czech Republic | 120871.577 tonnes net | gross DEU->CZE: 148614.793 t, reverse: 27743.216 t"
rf_nf_2024_ammonia_TTO_TUR_01193,2024,TTO,TUR,-61.37236579976247,10.415515638298093,35.56886764076691,38.93207363123396,ammonia,fertilizer,110720.5,316627299.556,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.440,net_trade_flows,nf_2024_ammonia_TTO_TUR_01193,"Ammonia: Trinidad and Tobago -> Turkey | 110720.5 tonnes net | gross TTO->TUR: 110720.5 t, reverse: 0 t"
rf_nf_2024_ammonia_DZA_PRT_00597,2024,DZA,PRT,2.6558464719769135,28.350969744889056,-7.933662183874006,39.67529214702138,ammonia,fertilizer,104789,308029411.224,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.357,net_trade_flows,nf_2024_ammonia_DZA_PRT_00597,"Ammonia: Algeria -> Portugal | 104789 tonnes net | gross DZA->PRT: 104789 t, reverse: 0 t"
rf_nf_2024_ammonia_RUS_TUR_01155,2024,RUS,TUR,98.6704990698032,59.039434214106194,35.56886764076691,38.93207363123396,ammonia,fertilizer,102508.634,304659384.895,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.325,net_trade_flows,nf_2024_ammonia_RUS_TUR_01155,"Ammonia: Russian Federation -> Turkey | 102508.634 tonnes net | gross RUS->TUR: 102527.7 t, reverse: 19.066 t"
rf_nf_2024_ammonia_BEL_NLD_00187,2024,NLD,BEL,5.554136426128487,52.134054128923886,4.675010154696485,50.6182138854095,ammonia,fertilizer,102398.541,304495740.747,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.323,net_trade_flows,nf_2024_ammonia_BEL_NLD_00187,"Ammonia: Netherlands -> Belgium | 102398.541 tonnes net | gross NLD->BEL: 110655.532 t, reverse: 8256.991 t"
rf_nf_2024_ammonia_ESP_TUR_00667,2024,TUR,ESP,35.56886764076691,38.93207363123396,-16.53799441021647,28.297665106525546,ammonia,fertilizer,100459.197,301598508.146,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.295,net_trade_flows,nf_2024_ammonia_ESP_TUR_00667,"Ammonia: Turkey -> Canarias | 100459.197 tonnes net | gross TUR->ESP: 100460.135 t, reverse: 0.938 t"
rf_nf_2024_ammonia_FRA_RUS_00743,2024,RUS,FRA,98.6704990698032,59.039434214106194,2.1940236627886227,46.6423682169416,ammonia,fertilizer,100021.6,300940914.597,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.289,net_trade_flows,nf_2024_ammonia_FRA_RUS_00743,"Ammonia: Russian Federation -> France | 100021.6 tonnes net | gross RUS->FRA: 100021.6 t, reverse: 0 t"
rf_nf_2024_ammonia_IDN_VNM_00868,2024,IDN,VNM,113.96538246847302,0.15591979959037652,105.91338832758704,16.517347170839393,ammonia,fertilizer,97769.96,297534312.160,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.256,net_trade_flows,nf_2024_ammonia_IDN_VNM_00868,"Ammonia: Indonesia -> Vietnam | 97769.96 tonnes net | gross IDN->VNM: 97769.96 t, reverse: 0 t"
rf_nf_2024_ammonia_LTU_RUS_01027,2024,RUS,LTU,98.6704990698032,59.039434214106194,23.946021605013534,55.29437393417175,ammonia,fertilizer,92655.2,289647134.728,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.181,net_trade_flows,nf_2024_ammonia_LTU_RUS_01027,"Ammonia: Russian Federation -> Lithuania | 92655.2 tonnes net | gross RUS->LTU: 92655.2 t, reverse: 0 t"
rf_nf_2024_ammonia_CHN_SAU_00406,2024,SAU,CHN,44.600958178225596,24.136038144757897,104.69113855849604,38.07325481105728,ammonia,fertilizer,92280.915,289061521.174,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.175,net_trade_flows,nf_2024_ammonia_CHN_SAU_00406,"Ammonia: Saudi Arabia -> China | 92280.915 tonnes net | gross SAU->CHN: 92281.995 t, reverse: 1.08 t"
