year,country_id,commodity_id,total_import_tonnes,total_export_tonnes,net_import_tonnes,net_export_tonnes,number_of_suppliers,largest_supplier_share,herfindahl_hirschman_index,notes
2024,GNQ,ammonia,3.817,0,3.817,0,2,0.995546,0.991132,HHI is calculated over direct import suppliers only
2024,GRC,ammonia,33987.058,2021.232,31965.826,0,15,0.397285,0.290803,HHI is calculated over direct import suppliers only
2024,GRD,ammonia,1,0,1,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,GRL,ammonia,27.138,0,27.138,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,GTM,ammonia,3027.95,420.821,2607.129,0,7,0.999390,0.998780,HHI is calculated over direct import suppliers only
2024,GUM,ammonia,6.48,0,6.48,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,GUY,ammonia,7.6,0,7.6,0,3,0.789474,0.664907,HHI is calculated over direct import suppliers only
2024,HND,ammonia,54.004,0,54.004,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,HRV,ammonia,2941.279,7415.018,0,4473.739,13,0.555721,0.361701,HHI is calculated over direct import suppliers only
2024,HTI,ammonia,70.431,0,70.431,0,2,0.511139,0.500248,HHI is calculated over direct import suppliers only
2024,HUN,ammonia,33316.438,5129.278,28187.16,0,15,0.440515,0.289965,HHI is calculated over direct import suppliers only
2024,IDN,ammonia,53226.03,1555537.642,0,1502311.612,16,0.995302,0.990635,HHI is calculated over direct import suppliers only
2024,IND,ammonia,2350529.44,19186.964,2331342.476,0,25,0.368290,0.273868,HHI is calculated over direct import suppliers only
2024,IRL,ammonia,3243.62,25.451,3218.169,0,14,0.471787,0.330690,HHI is calculated over direct import suppliers only
2024,IRN,ammonia,18.027,12591.738,0,12573.711,4,0.775947,0.637474,HHI is calculated over direct import suppliers only
2024,IRQ,ammonia,192.919,0,192.919,0,4,0.736039,0.608303,HHI is calculated over direct import suppliers only
2024,ISL,ammonia,131.319,0,131.319,0,9,0.607064,0.419612,HHI is calculated over direct import suppliers only
2024,ISR,ammonia,159287.063,0,159287.063,0,13,0.921393,0.850869,HHI is calculated over direct import suppliers only
2024,ITA,ammonia,103545.144,5394.13,98151.014,0,19,0.347960,0.245199,HHI is calculated over direct import suppliers only
2024,JAM,ammonia,92.72,0,92.72,0,3,0.543572,0.410518,HHI is calculated over direct import suppliers only
2024,JOR,ammonia,49265.554,0,49265.554,0,7,0.847838,0.741971,HHI is calculated over direct import suppliers only
2024,JPN,ammonia,274871.614,2486.981,272384.633,0,16,0.475953,0.290867,HHI is calculated over direct import suppliers only
2024,KAZ,ammonia,71613.613,35.435,71578.178,0,11,0.995574,0.991186,HHI is calculated over direct import suppliers only
2024,KEN,ammonia,23793.387,135.167,23658.22,0,7,0.983467,0.967443,HHI is calculated over direct import suppliers only
2024,KGZ,ammonia,19.777,0,19.777,0,4,0.527532,0.497021,HHI is calculated over direct import suppliers only
2024,KHM,ammonia,885.076,7.41,877.666,0,6,0.460420,0.349752,HHI is calculated over direct import suppliers only
2024,KIR,ammonia,0.02,0,0.02,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,KNA,ammonia,0.002,0,0.002,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,KOR,ammonia,1199499.879,39909.966,1159589.913,0,22,0.455134,0.362580,HHI is calculated over direct import suppliers only
2024,KWT,ammonia,1247.462,0.42,1247.042,0,6,0.959557,0.922025,HHI is calculated over direct import suppliers only
2024,LAO,ammonia,231.7,0,231.7,0,2,0.620199,0.528895,HHI is calculated over direct import suppliers only
2024,LBN,ammonia,145.112,30.239,114.873,0,6,0.581475,0.418519,HHI is calculated over direct import suppliers only
2024,LBR,ammonia,0.004,0,0.004,0,2,0.750000,0.625000,HHI is calculated over direct import suppliers only
2024,LBY,ammonia,62.091,382344.58,0,382282.489,6,0.489153,0.330724,HHI is calculated over direct import suppliers only
2024,LKA,ammonia,1129.961,90.631,1039.33,0,7,0.967508,0.937086,HHI is calculated over direct import suppliers only
2024,LSO,ammonia,1.682,0,1.682,0,2,0.973841,0.949050,HHI is calculated over direct import suppliers only
2024,LTU,ammonia,93113.34,5778.34,87335,0,13,0.995080,0.990205,HHI is calculated over direct import suppliers only
2024,LUX,ammonia,838.506,0.427,838.079,0,7,0.596839,0.508975,HHI is calculated over direct import suppliers only
2024,LVA,ammonia,1451.332,31.164,1420.168,0,14,0.693449,0.555101,HHI is calculated over direct import suppliers only
2024,MAR,ammonia,3570696.364,7.286,3570689.078,0,20,0.257509,0.191482,HHI is calculated over direct import suppliers only
2024,MDA,ammonia,81.452,19.28,62.172,0,10,0.327555,0.291054,HHI is calculated over direct import suppliers only
2024,MDG,ammonia,18135.32,0,18135.32,0,12,0.556794,0.407839,HHI is calculated over direct import suppliers only
2024,MDV,ammonia,17.741,0,17.741,0,2,0.570374,0.509905,HHI is calculated over direct import suppliers only
2024,MEX,ammonia,66588.576,3422.985,63165.591,0,8,0.670806,0.526491,HHI is calculated over direct import suppliers only
2024,MHL,ammonia,119.803,0,119.803,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,MKD,ammonia,347.162,2.879,344.283,0,11,0.797783,0.655041,HHI is calculated over direct import suppliers only
2024,MLI,ammonia,0.067,0,0.067,0,2,0.895522,0.812876,HHI is calculated over direct import suppliers only
2024,MLT,ammonia,9.051,0,9.051,0,7,0.439841,0.338193,HHI is calculated over direct import suppliers only
2024,MMR,ammonia,736.272,0,736.272,0,3,0.548301,0.502609,HHI is calculated over direct import suppliers only
2024,MNE,ammonia,5.093,0,5.093,0,7,0.392696,0.342173,HHI is calculated over direct import suppliers only
2024,MNG,ammonia,12.619,0,12.619,0,2,0.998494,0.996993,HHI is calculated over direct import suppliers only
2024,MOZ,ammonia,56.171,0,56.171,0,6,0.711613,0.569200,HHI is calculated over direct import suppliers only
2024,MRT,ammonia,40.918,0,40.918,0,7,0.462413,0.370991,HHI is calculated over direct import suppliers only
2024,MUS,ammonia,28.311,2.092,26.219,0,6,0.961464,0.924907,HHI is calculated over direct import suppliers only
2024,MWI,ammonia,22.22,0,22.22,0,5,0.941314,0.887763,HHI is calculated over direct import suppliers only
2024,MYS,ammonia,7834.754,474182.978,0,466348.224,18,0.359189,0.264145,HHI is calculated over direct import suppliers only
2024,NCL,ammonia,8.811,0,8.811,0,4,0.593576,0.478398,HHI is calculated over direct import suppliers only
2024,NER,ammonia,0.071,0,0.071,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,NGA,ammonia,1328.607,62.768,1265.839,0,6,0.369367,0.320125,HHI is calculated over direct import suppliers only
2024,NIC,ammonia,121.149,0,121.149,0,7,0.479344,0.439707,HHI is calculated over direct import suppliers only
2024,NLD,ammonia,140303.325,579086.928,0,438783.603,35,0.393731,0.231682,HHI is calculated over direct import suppliers only
2024,NOR,ammonia,610859.082,5700.458,605158.624,0,14,0.449554,0.273666,HHI is calculated over direct import suppliers only
2024,NPL,ammonia,708.706,0,708.706,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,NZL,ammonia,605.144,30.451,574.693,0,13,0.935473,0.876958,HHI is calculated over direct import suppliers only
